年份,所属大区,经度,纬度,Y(VIKOR得分),X1(老龄化),X2(人口密度),X3(GDP),X4(财政占比)
2020,东北地区,125.13,43.81,0.29241626146935684,16.213333333333335,165.67666666666665,50769.666666666664,8.15
2020,华东地区,118.55142857142857,30.97714285714286,0.30487070229341073,14.26142857142857,991.0485714285714,98095.0,7.131428571428572
2020,华中地区,113.63,31.19333333333333,0.33267137896965177,14.296666666666667,414.3233333333333,64457.666666666664,7.763333333333333
2020,华北地区,114.476,39.15,0.3331339184533609,12.959999999999999,625.746,86091.2,7.544
2020,华南地区,110.63666666666666,21.993333333333336,0.2136452264154798,10.403333333333334,365.82,62550.0,7.516666666666667
2020,西北地区,101.69,37.85,0.2770254701676632,10.392,74.854,52284.0,8.518
2020,西南地区,102.214,28.315999999999995,0.2890916920636168,12.398,176.75,57361.2,8.424000000000001
2021,东北地区,125.13,43.81,0.3568935073630331,17.029999999999998,165.33,55757.666666666664,8.216666666666667
2021,华东地区,118.55142857142857,30.97714285714286,0.37668104194180574,15.012857142857143,990.4285714285714,109876.42857142857,7.17
2021,华中地区,113.63,31.19333333333333,0.40407161656167395,15.043333333333335,414.0366666666667,71822.0,7.826666666666667
2021,华北地区,114.476,39.15,0.3964435893048104,13.746,624.412,95876.2,7.58
2021,华南地区,110.63666666666666,21.993333333333336,0.28588297146573943,11.023333333333333,365.5566666666667,70566.33333333333,7.573333333333333
2021,西北地区,101.69,37.85,0.3524508456964105,10.842,74.762,58922.8,8.584
2021,西南地区,102.214,28.315999999999995,0.35867769297793933,12.931999999999999,176.574,63339.2,8.492
2022,东北地区,125.13,43.81,0.39747816523043156,17.696666666666665,164.98,58981.666666666664,8.186666666666667
2022,华东地区,118.55142857142857,30.97714285714286,0.40088333755096583,15.531428571428572,989.83,115610.28571428571,7.138571428571429
2022,华中地区,113.63,31.19333333333333,0.455233945988164,15.626666666666665,413.74333333333334,75921.0,7.796666666666667
2022,华北地区,114.476,39.15,0.41921825704225774,14.376,623.838,100124.2,7.546000000000001
2022,华南地区,110.63666666666666,21.993333333333336,0.31591209848019647,11.523333333333333,365.2833333333333,74084.33333333333,7.543333333333333
2022,西北地区,101.69,37.85,0.3915161645398187,11.272,74.67,62169.0,8.554
2022,西南地区,102.214,28.315999999999995,0.39798201695534857,13.447999999999999,176.394,66188.4,8.462
2023,东北地区,125.13,43.81,0.4551958077737335,18.403333333333332,164.63333333333335,62936.0,8.206666666666665
2023,华东地区,118.55142857142857,30.97714285714286,0.4650344456355689,16.101428571428574,989.3199999999999,124605.0,7.158571428571428
2023,华中地区,113.63,31.19333333333333,0.5329296562829842,16.27,413.45,81431.33333333333,7.816666666666666
2023,华北地区,114.476,39.15,0.4759707356150523,15.040000000000001,624.2,107461.4,7.566
2023,华南地区,110.63666666666666,21.993333333333336,0.3828984310446761,12.076666666666666,365.0133333333333,80947.66666666667,7.563333333333333
2023,西北地区,101.69,37.85,0.459282403101955,11.7,74.578,67231.4,8.574
2023,西南地区,102.214,28.315999999999995,0.4720838005530691,13.991999999999999,176.214,71903.4,8.482
2024,东北地区,125.13,43.81,0.5309362030210898,18.953333333333333,164.28333333333333,67607.0,8.246666666666668
2024,华东地区,118.55142857142857,30.97714285714286,0.5472832587043533,16.625714285714285,988.6942857142857,134721.57142857142,7.2
2024,华中地区,113.63,31.19333333333333,0.6271206388110209,16.8,413.1566666666667,87663.33333333333,7.8566666666666665
2024,华北地区,114.476,39.15,0.5539631054779754,15.624,624.302,115269.2,7.609999999999999
2024,华南地区,110.63666666666666,21.993333333333336,0.4628581249000556,12.576666666666666,364.74,88054.66666666667,7.603333333333333
2024,西北地区,101.69,37.85,0.5432268813788997,12.104,74.486,73056.4,8.614
2024,西南地区,102.214,28.315999999999995,0.5565589678531235,14.45,176.03400000000002,77601.6,8.522
